2016-5-18
- 17: 32+32 cores, 1+60+1, 13 FPS [FG]

2016-5-27
- 1: 32+32 cores, 1+50+1, 13 FPS  [FG]

- 2: 32+32 cores, 1+40+1, 14 FPS
- 3: 32+32 cores, 1+50+1, 14 FPS
- 4: 32+32 cores, 1+60+1, 14 FPS

- 5: 32+32 cores, 1+80+1, 14 FPS [Need more time]

- 6: 32+32 cores, 1+100+1, 14 FPS

- 7: 32+32 cores, 1+40+1, 16 FPS
- 8: 32+32 cores, 1+50+1, 16 FPS

2016-6-01
- 1: 32+32 cores, 2+40+2, 13 FPS
- 2: 32+32 cores, 2+50+2, 13 FPS
- 3: 32+32 cores, 2+60+2, 13 FPS [FG]
- 4: 32+32 cores, 2+80+2, 13 FPS
- 5: 32+32 cores, 2+100+2, 13 FPS

- 6: 32+32 cores, 2+40+2, 14 FPS
- 7: 32+32 cores, 2+50+2, 14 FPS
- 8: 32+32 cores, 2+60+2, 14 FPS
- 9: 32+32 cores, 2+80+2, 14 FPS [FG]
- 10: 32+32 cores, 2+100+2, 14 FPS

- invalid: fps does not satisfy requirement
- 11: 32+32 cores, 2+40+2, 15 FPS
- 12: 32+32 cores, 2+50+2, 15 FPS
- 13: 32+32 cores, 2+60+2, 15 FPS
- 14: 32+32 cores, 2+80+2, 15 FPS
- 15: 32+32 cores, 2+100+2, 15 FPS

- 16: 32+32 cores, 2+40+2, 16 FPS
- 17: 32+32 cores, 2+50+2, 16 FPS
- 18: 32+32 cores, 2+60+2, 16 FPS
- 19: 32+32 cores, 2+80+2, 16 FPS
- 20: 32+32 cores, 2+100+2, 16 FPS

- 21: 32+32 cores, 2+40+2, 18 FPS
- 22: 32+32 cores, 2+50+2, 18 FPS
- 23: 32+32 cores, 2+60+2, 18 FPS
- 24: 32+32 cores, 2+80+2, 18 FPS
- 25: 32+32 cores, 2+100+2, 18 FPS

- 26: 32+32 cores, 2+40+2, 20 FPS
- 27: 32+32 cores, 2+50+2, 20 FPS
- 28: 32+32 cores, 2+60+2, 20 FPS
- 29: 32+32 cores, 2+80+2, 20 FPS
- 30: 32+32 cores, 2+100+2, 20 FPS

2016-6-02
- 1: 32+32 cores, 2+40+2, 17 FPS
- 2: 32+32 cores, 2+100+2, 24 FPS
- 3: 32+32 cores, 2+100+2, 34 FPS


- 4: 32+32 cores, 2+40+2, 15 FPS
- 5: 32+32 cores, 2+50+2, 15 FPS
- 6: 32+32 cores, 2+60+2, 15 FPS
- 7: 32+32 cores, 2+80+2, 15 FPS
- 8: 32+32 cores, 2+100+2, 15 FPS

- 9: 32+32 cores, 2+40+2, 16 FPS
- 10: 32+32 cores, 2+50+2, 16 FPS
- 11: 32+32 cores, 2+60+2, 16 FPS
- 12: 32+32 cores, 2+80+2, 16 FPS
- 13: 32+32 cores, 2+100+2, 16 FPS

- 14: 32+32 cores, 2+40+2, 18 FPS
- 15: 32+32 cores, 2+50+2, 18 FPS
- 16: 32+32 cores, 2+60+2, 18 FPS
- 17: 32+32 cores, 2+80+2, 18 FPS
- 18: 32+32 cores, 2+100+2, 18 FPS

- 19: 32+32 cores, 2+40+2, 20 FPS
- 20: 32+32 cores, 2+50+2, 20 FPS
- 21: 32+32 cores, 2+60+2, 20 FPS
- 22: 32+32 cores, 2+80+2, 20 FPS
- 23: 32+32 cores, 2+100+2, 20 FPS

2016-6-03
- 1: 32+32 cores, 2+40+2, 18 FPS, start-delay

- 2: 8 cores, 1+5+1, 1 FPS
- 3: 8 cores, 1+5+1, 2 FPS

2016-6-07
- 1: 16 cores, 1+27+1, 1 FPS
- 2: 16 cores, 1+27+1, 2 FPS
- 3: 32 cores, 1+27+1, 1 FPS
- 4: 32 cores, 1+27+1, 2 FPS
- 5: 32+32 cores, 1+50+1, 1 FPS
- 6: 32+32 cores, 2+50+2, 1 FPS
- 7: 32+32 cores, 1+50+1, 2 FPS
- 8: 32+32 cores, 2+50+2, 2 FPS


- 9: 32+32 cores, 2+40+2, 9 FPS
- 10: 32+32 cores, 2+50+2, 9 FPS
- 11: 32+32 cores, 2+60+2, 9 FPS
- 12: 32+32 cores, 2+80+2, 9 FPS
- 13: 32+32 cores, 2+100+2, 9 FPS

- 14: 32+32 cores, 2+40+2, 11 FPS
- 15: 32+32 cores, 2+50+2, 11 FPS
- 16: 32+32 cores, 2+60+2, 11 FPS
- 17: 32+32 cores, 2+80+2, 11 FPS
- 18: 32+32 cores, 2+100+2, 11 FPS

- 19: 32+32 cores, 2+40+2, 13 FPS
- 20: 32+32 cores, 2+50+2, 13 FPS
- 21: 32+32 cores, 2+60+2, 13 FPS
- 22: 32+32 cores, 2+80+2, 13 FPS
- 23: 32+32 cores, 2+100+2, 13 FPS

2016-6-08
- 1: 16 cores, 1+34+1, 7 FPS
- 2: 16 cores, 1+36+1, 7 FPS
- 3: 16 cores, 1+38+1, 7 FPS
- 4: 16 cores, 1+48+1, 7 FPS
- 5: 16 cores, 1+58+1, 7 FPS
- 6: 16 cores, 1+68+1, 7 FPS

- 7: 32 cores, 1+27+1, 7 FPS
- 8: 32 cores, 1+28+1, 7 FPS
- 9: 32 cores, 1+29+1, 7 FPS
- 10: 32 cores, 1+30+1, 7 FPS
- 11: 32 cores, 1+31+1, 7 FPS
- 12: 32 cores, 1+32+1, 7 FPS

- 13: 16 cores, 1+48+1, 6 FPS
- 14: 16 cores, 1+48+1, 8 FPS
- 15: 16 cores, 1+48+1, 9 FPS
- 16: 16 cores, 1+48+1, 10 FPS

- 17: 32+32 cores, 1+40+1, 14 FPS
